Country code,1950-1955 fert,2015-2020 fert,1950-1955 mort,2015-2020 mort
328,6.04,2.47,97,32
600,6.5,2.45,102,21
604,6.95,2.27,267,16
740,6.56,2.43,114,20
858,2.73,1.98,64,10
862,6.46,2.28,140,31
36,3.18,1.83,30,4
554,3.69,1.9,33,5
242,6.63,2.79,120,25
540,5.22,1.97,171,13
598,6.24,3.59,249,53
90,6.4,4.44,254,20
548,7.6,3.8,180,27
316,5.53,2.32,116,10
296,6.1,3.58,227,54
583,7.2,3.08,149,32
258,6,1.95,142,7
882,7.63,3.9,131,16
776,7.3,3.58,108,16
112,2.61,1.71,127,4
100,2.53,1.56,116,7
203,2.74,1.64,50,3
348,2.69,1.49,83,5
616,3.63,1.42,92,4
498,3.5,1.26,101,14
642,3.06,1.62,113,8
643,2.85,1.82,142,7
703,3.5,1.5,86,6
804,2.81,1.44,113,9
830,2.06,1.5,40,7
208,2.55,1.76,33,4
233,2.06,1.59,112,3
246,3,1.53,40,2
352,3.86,1.77,27,2
372,3.42,1.84,49,3
428,2,1.72,107,5
440,2.84,1.67,138,5
578,2.6,1.68,29,2
752,2.24,1.85,24,2
826,2.18,1.75,33,4
8,6.23,1.62,194,11
70,4.82,1.27,203,7
191,2.73,1.45,104,5
300,2.48,1.3,58,3
380,2.36,1.33,73,3
470,4.15,1.45,78,6
499,4.35,1.75,133,3
807,5.06,1.5,155,12
620,3.1,1.29,135,3
688,3.22,1.46,135,6
705,2.68,1.6,29,2
724,2.53,1.33,82,3
40,2.1,1.53,61,4
56,2.37,1.71,51,3
250,2.76,1.85,52,4
276,2.13,1.59,55,4
442,1.98,1.45,56,4
528,3.05,1.66,30,3
756,2.31,1.54,36,4
124,3.65,1.53,44,5
840,3.31,1.78,35,7
